"X3","X4","X6","X8","X10","X14","X19","X23","X30","X33","X38","X40","X41","X44","X45","X57","X59","X60","X66","X70","X77","X83","X84","X86","X89","X91","X94","X95","X96","X101","X102","X103","X107","X108","X116","X118","X126","X127","X128","X129","X135","X138","X141","X142","X147","X149","X150","X155","X158","X160","X161","X167","X168","X169","X172","X178","X182","X187","X188","X190","X205","X210","X214","X217","X219","X222","X227","X231","X240","X243","X256","X258","X266","X269","X273","X284","X285","X286","X288","X290","X291","X292","X293","X294","X296","X307","X310","X316","X324","X325","X326","X336","X341","X344","X351","X354","X356","X361","X362","X366","X376","X377","X378","X384","X389","X393","X394","X401","X406","X407","X408","X409","X410","X414","X417","X422","X423","X431","X434","X443","X445","X446","X448","X449","X450","X457","X458","X469","X470","X474","X476","X478","X485","X492","X498","X501","X505","X511","X513","X514","X516","X517","X518","X531","X535","X539","X543","X544","X546","X547","X551","X552","X565","X566","X567","X568","X572","X577","X579","X590","X598","X602","X604","X606","X607","X608","X611","X613","X619","X621","X625","X627","X631","X637","X638","X641","X644","X648","X656","X657","X658","X668","X669","X671","X672","X673","X677","X679","X686","X690","X691","X697","X698","X702","X708","X709","X720","X721","X723","X733","X739","X746","X748","X751","X752","X753","X754","X770","X782","X783","X784","X800","X803","X814","X816","X821","X825","X830","X832","X834","X836","X839","X843","X850","X851","X855","X856","X865","X866","X867","X871","X874","X878","X884","X886","X887","X890","X891","X904","X906","X908","X909","X912","X913","X914","X915","X919","X923","X924","X926","X928","X930","X931","X932","X947","X950","X952","X954","X958","X961","X976","X978","X982","X987","X1002","X1004","X1007","X1010","X1016","X1028","X1031","X1032","X1038","X1040","X1041","X1043","X1044","X1045","X1046","X1051","X1052","X1054","X1059","X1062","X1066","X1070","X1072","X1074","X1075","X1077","X1080","X1081","X1082","X1083","X1088","X1090","X1097","X1104","X1109","X1114","X1116","X1120","X1121","X1122","X1126","X1135","X1138","X1148","X1149","X1161","X1165","X1169","X1170","X1171","X1175","X1182","X1183","X1185","X1186","X1187","X1188","X1190","X1200","X1203","X1206","X1209","X1210","X1213","X1221","X1224","X1225","X1227","X1240","X1243","X1244","X1245","X1247","X1250","X1253","X1255","X1260","X1263","X1268","X1269","X1271","X1277","X1279","X1284","X1285","X1290","X1292","X1293","X1294","X1295","X1300","X1304","X1307","X1309","X1314","X1321","X1322","X1326","X1330","X1331","X1334","X1338","X1340","X1341","X1343","X1346","X1350","X1351","X1357","X1363","X1371","X1373","X1378","X1379","X1380","X1382","X1384","X1387","X1389","X1393","X1398","X1400","X1402","X1408","X1409","X1411","X1412","X1414","X1418","X1419","X1423","X1425","X1426","X1430"
0.00425094251523621,3.75409716788388e-05,0.0104311634151093,0.0116770827936496,0.00742368904686415,0.0030340779742904,0.0105658229197361,0.00262691789959128,0.0142191071729959,0.00145235033780121,0.0118706069281564,0.00196254561882856,0.0117068977055396,0.00806294780542159,0.0105624414020558,0.0105198959011181,0.00574584977835175,0.00728262034816225,0.00456905708432605,0.0100803495787039,0.0118447619057516,0.00699406253281208,0.00513739571339966,0,0.00785770063585726,0.00343130924217871,0.00276584369754911,0.00961135694963996,0.0124976158012586,0.0068330884454154,0.00682904247144575,0.0102318971257752,0.00988553298592081,0.0154951217536577,0.0122237719185497,0.0126757069247338,0.00391986908720109,0.00844996112224968,0.00406602640434118,0.00972386121003233,0.0150108918189092,0.015680089428281,0.00310192208069647,0.00424793245112002,0.0149225461053581,0.00842709028870204,0.00479855349194533,0.00603080441774696,0.00564830660369179,0.00986416156915161,0.00989080820868605,0.0118918031937278,0.00637896279933175,0.00799953490539755,0.0130578237900915,0.00423939954951231,0.0154010735959126,0.00855422226032859,0.010201047493138,0.00575418242911383,0.00536718427398793,0.00843671430741923,0.00964679597585242,0.0119750239338641,0.00804413987012512,0.010530871443158,0.0136773210662921,0.00582718739695259,0.0150207964970153,0.00406021124108094,0.0156044892796956,0.00947588808255273,0.00733781662488458,0.00551551957629358,0.010282986183176,0,0.00932419975188553,0.00204184916280544,0.0118877347567856,0.00557822137725402,0.0107028765172925,0.0093039157670045,0.0125388864849472,0.00564693030184793,0.00329861573692134,0.0140339187689406,0.00829617040825442,0.00704114996180094,0.0105913053339511,0.003618308933724,0.00418295415698909,0.0128275507671411,0.00135522974705657,0.0068848282944915,0.00106195002633154,0.0105975923876852,0.00324488672843126,0.0129679668877127,0.00828094301677445,0.0171378485125724,0.0147993984613411,0.0110841320371452,0.00825156377870507,0.00769728996475193,0.0113145036020832,0.00792311701630673,0,0.00755445225149865,0.00237407109624004,0.00770350440936594,0.00808085377297141,0.00331817540040552,0.00997082883106481,0.00612858352778273,0,0.00852973170819464,0.00913548255398825,0.00997009206320335,0.00606202808772015,0.00734823805491824,0.00330627518762469,0.0139737293660881,0.0111507058137622,0.00891836389899728,0.00912536905590377,0.00843980707552236,0.00946052470527,0.00814156691361878,0.0096671235786063,0.00932668858188428,0.00412906031124645,0.0180342625094885,0.00738794448757514,0.00519861141305125,0.00292132806797058,0.0121327060263603,0.00320037335206181,0.00347057971334231,0,0.0035182474048762,0.00439166905489377,0.0131678330144513,0.00944274683528628,0.00812304747589316,0.00759582986510549,0.0146610599245667,0.00982399054458402,0.0137691499346402,0.0131323832387723,0.0113424262413867,0.00141842213795059,0.0112668359157301,0.00638473538872606,0.00424540824941299,0.0104059775489905,0.0108740074344023,0.00969541824071309,0.0122409019692767,0.0100606913453664,0.00956409011580237,0.00792349325257348,0.0123136861423298,0.0141607440334576,0.0118252126111169,0.00899960754262485,0.00814253563424709,0.0162542514002985,0.0029014236360213,0.0100181543158286,0.0110887936791798,0.0148028275802992,0.0128326079382548,0.00694040221710992,0.00284190347676585,0.0111796732969987,0.0104221534153366,0.00691919553414328,0.0101894643494295,0.00554973940150116,0.00997962467173884,0.012157586161854,0.00780610872710232,0.00707588448238303,0.0180845149297695,0.0119640805904754,0.0102001056073432,0.00684309708756692,0.00796333051501321,0.00520043412811154,0.0100855313559406,0.00470783100303106,0.00812668474017791,0.00573675789306743,0.00686601105059489,0.006389387472668,0.00150745093121733,0.0066961610142429,0.00874045614889493,0.00427657636323877,0.0116996965173584,0.00992452203869986,0.00575888624517678,0.0101297945495885,0.00595384818930017,0.0143546439306733,0.00950249450682037,0.00900525281648937,0.0117699695355357,0.0137696209098191,0.0144686645838196,0.0155392843175067,0.00385652593370433,0.0141113017991982,0,0.00583614071151351,0.00800396408740603,0.0061832202240534,0.012224250368225,0.00661955139896808,0.00946648551613978,0.01513760606441,0.00945688177960342,0.00793867436764898,0.00874867841764104,0.0163966551596051,0,0.00631870744117727,0.0120688571700562,0.0137817318571862,0.00657707998860054,0.0105183445463233,0.0101640669367662,0.00690187293883475,0.00446693663855684,0.00433690790231193,0.00212271827842315,0.00613209568525756,0.0129595917785336,0.00634330080482012,0.010694325613159,0.0135358065885601,0.0130760140379723,0.00901391539232192,0.00936245444801147,0.00976313471257917,0.00947920033656445,0.0094764250618109,0.00704081193714699,0.014172882972444,0.00932982517245896,0.0149333733650944,0.0086760283523499,0.00573973849731384,0.0114771144474123,0.0131746633190611,0.0103251064222697,0.00875430403370613,0.0134824441838743,0.00674461816431968,0.0043355629539476,0.0113156782333416,0.0111725080197496,0.00598623465599745,0.0135846684767055,0.0059320568439825,0.00464886972379656,0.0118714464074199,0.00611354929075212,0.00896527035536554,0.0127625640834667,0.0119274124645927,0.00541792807964176,0.0142298364637401,0.010693206190979,0.00640372593733151,0.00961409328384051,0.0135586844430756,0.00760990699846307,0.00258306705378612,0.00457449634329704,0.00829112348394814,0.00630808556146575,0.0126158010607342,0.0133824250838277,0.00504988411254224,0.0141705701247715,0.00898023244915252,0.00891383806989551,0.00198245473989762,0.0049905992719201,0.0112724254786174,0.00875636335780365,0.0127175320207127,0.00161266174144923,0.0087552953808149,0.0115206748160075,0.00323377072728496,0.0109503077428171,0.00984168357221594,0.0132143631962394,0.00881382050196746,0.00525754111511477,0.00912746111010617,0.00679928798374686,0.0129458972231948,0.0105256993330064,0.0114221513134018,0.00620455299814497,0,0.00490345808894159,0.0134977371688198,0.00946239203995142,0.00496656769953187,0.00196273703188199,0.0144028346131317,0.0142406467623604,0.00609552065758815,0.00217825860615355,0.00876570083907891,0.00833307725745192,0.0125191727018424,0.00696502859012733,0.014042161791611,0.0103794647996314,0.00557669353686655,0.0167204958274542,0.00744095313222159,0.0114842809247673,0.00597091327001103,0.0123715947790533,0.00427827495981335,0.0136043187071091,0.00297231008770361,0.00941008582302238,0.00465611565924663,0.00520815042351037,0.00594072973104282,0.0105633451185729,0.00792215622740713,0.00391363253079852,0.00584832899640207,0.017075054616468,0.0111279438836416,0.00657908856411713,0.00665259021592508,0.0143111110943028,0.00594203248528748,0.0111203177582527,0.00174223043581963,0.00947806654457287,0.0137644622581413,0.00888169889551098,0.00542446939910967,0.00392963370151461,0.00435680600198671,0.00745092475998404,0,0.00866712174967729,0.0117726758413769,0.00571462604513509,0.00970149251280513,0.00422658803994364,0.0065824458869802,0.0119008106736884,0.0100344705513171,0.0139667978727493,0.000574327284171728,0.0176611716050215,0.00230116140031392,0.010242120415042,0.00949529791277934,0.0130293377980376,0,0.0143029701794943,0.00908327100395514,0.00980649838849199,0.00839538172798571,0.0156885275859433,0.000674884493182478,0.00682518077178633,0.00871541859023684,0.0122559131838174,0.00401484359609987,0.00509108565009243,0.00685711576994723,0,0.00902829636309591,0.0124252412845694,0.0079077533397574,0.00195389639092775,0.00611539473601049,0.0128969483808224,0.0022225264446158,0.00583042787734382,0.00811380857204447,0.00885814596897618,0.00394972464551029,0.0093112391283696
0.0105532746522866,0.0108539124502169,0.00219757973452962,0.00689243473273525,0.00921341933696252,0.00583295802719566,0.00390403828826332,0.00880208690119167,0.0049396791125884,0,0.00589231999654495,0.00528885962250207,0,0.00244476171140567,0.00592013554082695,0.0068789339737282,0.0062308307393452,0,0.00577066382694175,0.00546096641049041,0.000771886676996457,0.00340147703442413,0.011489212932084,0.000439188932652906,0,0.00632371414941619,0.00679700780424724,0.00517581440598099,0.00524241904754369,0.00263622629253756,0,0.00621114870026765,0.00427898169041652,0.000638631794060402,0,0.0041776942306964,0.00628840805286946,0.00759016366017743,0.00438516673821535,0.00450384537101893,0,0,0.00316552696159106,0.00877749383333343,0.00396507605981667,0.00721254599832056,0.00379746728773899,0.0025385967506786,0.0042849894007021,0.00490150760361974,0.0090098860132019,0,0,0.00886039321148739,0.00439305925170693,0.00548387716429247,0,0.0040421515253225,0.00614408094692783,0.0106735283998589,0.00334682235923316,0,0.00840598513701887,0.00858870213709845,0.00885503684576313,0.00598259423097134,0.00225923126601056,0.000720782950986056,0.00379270824161962,0.00521193370973671,0.00207065239267641,0.0063497489300629,0.00536601959331434,0.00118175293936718,0.00174725746797778,0.000857807193850108,0.00762476743483408,0.00487343160765644,3.85798755121507e-05,0.000807212948113852,0.00645873943316642,0.0059012220757561,0.00341977955655946,0.00460001804888378,0.00447689961506515,0.00718662924781621,0.0081326158942118,0.0118039262881057,0,0.00276332610194985,0.00639054751773627,0.00409035074213487,0.00422205767667339,0.00927196724136922,0.00899396806531208,0,0.0101626588762291,0.00180826583242343,0.0020047401370545,0.00854933502596941,0.00663622963524693,0.00346544888889972,0,0.0010362565647094,0.00487237897055505,0.00299081740366815,0.0067494223099575,0.00401806326359981,0.00535230190230046,0.00412499026578088,0.00933041939284195,0.00316758497112009,0.00608444408473574,0.00232928014457232,0.000784908852061428,0.00634603763748781,0.00709583516791928,0.00831433736827545,0,0.00624438989898606,0.00346439260486617,0,0.00281786093580654,0.00794862655016191,0.00275474303057237,0.00712594498637965,0.000619596329459388,0.00125256776538883,0.00688306351615155,0.00312771608382641,0.00399902400638139,0.0111927595215353,0.00627538133158527,0.0104160086521164,0.00466128802921088,0.0117553949689938,0.00520702422104405,0.00633602406303402,0.000329638713107904,0.00648836138613438,0.0103204591215859,0.00896557095832223,0.00548990257165899,0.00521328706376547,0.00738449305373386,0.00923834387143101,0.00512638088327925,0.00513956823946018,0,0.00444230239559513,0.00603832509332629,0.00836347233547165,0.00783474552943822,0.00543077160413823,0.00379786061208195,0.00884079803192433,0.00839452022371753,0.00441753244460802,0.00491269186265097,0.00579569220420082,0.00831347263585061,0.00249456907943027,0.00327056356628792,0.00413703773154762,0.00768578076820874,0.00867734906759906,0.00572811486110991,0.00789728913937904,0.00296595709697071,0.00365270574849309,0.0109555238312982,0.00703264644568846,0.00262925979462906,0.00514183877696831,0.00477678219301732,0.00722223262176765,0,0.00830253313760366,0.0143224298483613,0.001929009018889,0.00617825674872177,6.00180356441087e-05,0.0026579225056455,2.4555850807431e-05,0.00505293734640816,0.00735142043132645,2.88924567779719e-05,0.00709983868242379,0.00854443205885909,0.00438986791301788,0.00787759656523942,0.0130419182824339,0,0.0056258609272244,0.000170532046634227,0.00786533718428918,0.00620645367029459,0.00498432332656789,0.00377488170444813,0.00534250163634105,0.00879442389106941,0.00520598647468425,0.00898391728380733,0.0110817316123513,0.00268098669284109,0.0104930505382572,0.00832568177152194,0.00533324047349978,0,0,0.0093676670892086,0.00255738774858638,0.0104423265045915,0.0025909861312466,0.00153508003827901,0.00136947366976643,0,0.00639251339810366,6.14026043270081e-05,0.00600295638322743,0.00723125514855294,0.00799678006210206,0.007394810644923,0.00481481497802459,0.00559751625798342,0.000226394775920814,0.00161344474914224,0.00790479555535297,1.44201099103914e-06,0.000341305961513066,0.00407143053797809,0.00427461289154394,0.00112023640468945,0.00867110843001762,0.00418586876104872,0.00699186872283343,0.00322047340056645,0.00571931621426403,0.00578167089237025,0.00651382198752231,0.00965576882891483,0.00236697055289835,0.00133867478011588,0.00392581948398959,0.0070755714052208,0.00709154569540488,0.00547262280631638,0.000294004584806655,0.00192388310424364,0.0100095364942122,6.58051119571563e-05,0.00714307458003762,0.00159261824274838,0.00468438258146116,0.0119887981845695,0.00708687457743207,0.000386436589498116,0.00672263281803307,0.00273859139537932,0.00449192789599627,0.00650121449430357,0.00665760960800023,0.00543735268207608,0.00350297164860633,0.00264440199752442,0.00384518062566288,0.00569901858461678,0,0,0.00921375216573396,0.00760388903485626,0.00380602655727724,0.000810150400145157,0.00299826966452039,0.00693475790049377,0.00588726756327936,0.00586890426083442,0.00163907526263656,0.00424853175456502,0.00494219917737868,7.26300416992934e-05,0.00839253184252566,0.00683043778201527,0.00551805294697733,0.00422179725619343,0.00297354699274159,4.57362820415424e-05,0.00911142891206156,0.00680025463163988,0.00507635626717489,0.00630306878690431,0.00157133864963313,0.00163007257672512,0.00852818149432518,0.00517009524004017,0.00322612642778957,0.00656683306767783,0.0055557872043431,0.00676367736572438,0.00851505998769068,0.00474104835633062,0.00567275113110958,0.00536549715452914,0,0.00511690263791067,0.00254387194527046,0.00684358170583209,0.00267314592476535,0.00160453749094494,0.00213445107930098,0.00341436918869874,0.0057100738734842,0.000449775566124384,0.00390692945707922,0.0031809917484448,0.00213986359125239,0.00308133938821434,0.0113781224304899,0.0114184770906956,0.00295653687533171,0.00820650031140267,0.0112794575588552,0.00370352727877246,0.00690188172220639,0.0116864696952743,0.00228689606195611,0.00277549169948898,0.00469004027732168,0.0045424143425997,0.00384971637129025,0.00374954144414751,0.00829085457791074,0.00689794912976689,0.00964167653968571,0.00322200642329191,0.00977768898040553,0.00214651136332505,0.00862272480299493,0.000573127650632658,0.00562569990364394,0.00226860316421128,0.00062595136305308,0.00580707367599208,0.0044056064466372,0.00251235834475145,0.000538116627774357,0,0.00273169848608273,0,0.00946876219332238,0.00706008551666088,0.0040166482255938,0.00186786057268534,0.00605022621698178,0.00213823775368779,0.00802882958985663,0,0.0073663763014356,0,0.0033754806989119,0.00575535496904972,0.00376678348561002,0.00902313751874098,0.00567151585529892,0.0143199261153408,0.00468734764832011,0.00877340684994866,0.00300311328196429,0.00941646177352571,0.00688296798695938,0.00900340520970921,0.00512349680031153,0.010087667691279,0.00929443364081322,0.0129226407922366,0.00501714642189349,0.0105959694875034,0.00306353489484739,0.0066576940600655,0.00504178835321852,0.0110717522521172,0.00600559769971791,0.00982486700847369,0.00282760755120563,0.00118242975993675,0.00899328379565363,0.00761783624775364,0.00925489518259566,0.00787893012738537,0.0078001821770403,0.00783329971089771,0.00159666499302834,0.00686006065525771,0.00799007163057681,0.0071491004798153,0.0117922735211847,0.0104930731988707,0.0101521389092936
0.00271466469975753,0.00227746835625688,0.00528019032984282,0.00212451319564693,0.00159180448338861,0.00198137860222671,0.00247144746365475,0.00195610596633634,0.00366623574238671,0.00418098220018343,0.00219817750122597,0.00277816483066026,0.00270629622845584,0.0046797436025853,0.00146587761592369,0.00126563748812079,0.00380091444911384,0.00487416521320673,0.00265175366509347,0.00288319401498442,0.00387970363224072,0.00168698415012552,8.99100695297278e-05,0.00569925628500008,0.00314545131688272,0.00295246254709789,0.00410506476430399,0.00374378874597674,0.00429455088183691,0.00389739628779062,0.00590284025466842,0.0016956396826118,0,0.0044216144537803,0.00439119224372633,0.00272978362687993,0.00211096151149565,0.00234402091073732,0.00354210634022469,0.00239612728735257,0.00558633817916278,0.00205607135834161,0.00328142735827206,0.00124276030519688,0.000525682409115689,0.00244854346697735,0.00295657513368393,0.00369736823314036,0.00287468830641504,0.00113535152312414,0.00216835723906055,0.00203664427416892,0.00510760841249577,0.00116031730356357,0.00274714769270438,0.00220254853603534,0.00298596906561275,0.00373626686652664,0.00211818938046888,0.00173988198347423,0.00329814262840845,0.0036920746879671,0.0010206843475209,0.000943877428611905,0.00135021687881489,0.00203495927097372,0.00269510206924958,0.00375114797521069,0.000949115252058064,0.0027460063099996,0.00178246045835085,0.00274011570746936,0.00281359666706674,0.00428518596112954,0.00425704788090713,0.00540944773533296,0.00163968745914072,0.00288334613298314,0.00568455743360362,0.0047850121999158,0.00236828732594325,0.00113220681889728,0.0033217249231363,0.00444055165051354,0.00322414270751507,0.00214779620168197,0.00209535564938824,0,0.00275304666938989,0.00254732011569938,0.00225459226298472,0.00371908118395795,0.00389836855326824,0.00216325179910758,0.00116633920321293,0.00601226943655677,0.00142946945932712,0.00399842798469408,0.00397291334215959,0.00278779665531757,0.00167445062427694,0.00459466376625721,0.00454658660199593,0.00497341275824446,0.00283481591710674,0.00181552327575243,0.00168641967002258,0.00331216686367082,0.00242498302368663,0.00219589607319143,0,0.00321106324826572,0.00220242485802097,0.00417670437378829,0.00542622584610237,0.00180689683991851,0.000453791569687938,0.00414157813925976,0.00445727772833598,0.00163925425608998,0.00315450834491871,0.0044716034727513,0.00361637276472133,0.00196045864440905,0.0039687523343888,0.00172709661055343,0.00494813566686511,0.0019083988531783,0.00203502655967664,0.00438291439362419,0.00418215513016815,0,0.00320021239514437,0.00228405673278526,0.0033420193237113,0.00270140843765269,0.00255253825447608,0.00423366184675417,0.00617098041257822,0.0025800490071439,0.000576902924607946,0.00382844191504536,0.00243981979356617,0.00211779886667586,0.00139416532793791,0.000358561294980709,0.00212153537863986,0.00479141697700594,0.0044594498949394,0.00315985641787672,0.00303329883784275,0.00196963974096884,0.00180090707957029,0.00147158456784792,0.00369473153759831,0.00136377042851199,0.00121389931077589,0.00257077701092891,0.00339237947004842,0.00273138849693072,0.00196515458188911,0.00293549441480912,0.00522921984334193,0.00362451760605118,0.00177304889550301,0.000455582718187469,0.00221507453330479,0.00278717275519665,0.00365173430445457,0.00322877085466132,0.00134668681215812,0.00171718701305766,0.00301205520665641,0.00310878376539154,0.0026801915909355,0.00385409856323711,0.00512496978177948,0.00177497949108199,0.000157230449253512,0.00343906310303564,0.00166228613331889,0.00550433604146237,0.00412911368143839,0.00179627085764429,0.00297840132677788,0.00133173356376876,0.00519152610713374,0.00116293318243553,0.00116418133177,0.0040764060890103,0.00185897916442322,0.00119807568543996,0.00505269214921363,0.00286339526450796,0.00462099957283105,0.00208380191674166,0.00384515704233377,0.00292042314076573,0.00374814646690378,0.00259009573009199,0.00126995615754471,0.00275531438517379,0.00170607910733571,0.00124049484345713,0.00327020081796764,0.00267268548540506,0.00179466527981814,0.00253276116311756,0.00421270977230628,0.00470870760646097,0.00271338300779234,0.0043285000503561,0.00250134893247265,0.00617748450856249,0.00415470117094944,0.00621903797548458,0.00384992771121667,0.00136848501165509,0.00445002113406592,0.00247068065719956,0.00374692823690707,0.000890807449926343,0.00266927542890117,0.00445689384474574,0.000939501002953686,0.0052886692172805,0.00472439111057822,0.0021694117900561,0.00437780065808111,0.00492563722789049,0.00269088580274628,0.0023464344042563,0.00301191465341372,0.00342713197396888,0.00471095689470038,0.0028665993445007,0.00404152613143294,0.00315742885937473,0.00234100988376896,0.00165081288056337,0.000751438587972459,0.0029136613871082,0.00285642735281454,0.00233601305139811,0.00253278581987918,0.0034452457611849,0.00309505490727684,0.00546390198621424,0.00534445175334398,0.00145727218355285,0.00436705227826758,0.00132769054272124,0.00393114137835135,0.00395896145539768,0.000562186832195641,0.00182330599379583,0.00252970165711076,0.00287139827421726,0.00344114489835469,0.00252868005811217,0.00323417053816171,0.0024990139502794,0.00352840709088516,0.00349815659903747,0.00423751087949358,0.00365751109372399,0.00282513813849203,0.00580078843130393,0.00394218880135915,9.92051093074549e-05,0.00196139307800813,0.00377115496718911,0.00387467417942664,0.00348666310755202,0.00299574561738911,0.00202853506428604,0.00243397047592981,0.00389059470084649,0.00284700612683975,0.00527009571230479,0.00493548147546384,0.00191062462253399,0.00218017374359738,0.0025672681397283,0.00399214239138396,0.0011883977389456,0.00224862804931129,0.00136915817059149,0.00243177136288204,0.00307790367162239,0.00195911293058471,0.00315991755644437,0.0035801497255327,0.00476314323852651,0.00243611019937019,0.00441123691097236,0.00222823399423474,0.00163254489162382,0.00171346467230737,0.00101216305933047,0.00345514399848565,0.00269274593934911,0.002158594970629,0.00474347034186411,0.00228980159725072,0.00311434839948651,0.00176602460121223,0.0029972718320835,0.00549564945966909,0.0054450274340928,0.00280104745685807,0.00294539661294293,0.00506668568161531,0.00354923920331416,0.00516587010483112,0.00113076320224367,0.00402516215362173,0.000975608448681924,0.000662858992328,0.00398480221087141,0.00103368680496141,0.000710072347633525,0.000283322889677457,0.00223683586668096,0.000513805785342952,0.00171965223852654,0.00336167523626044,0.00326179611649859,0.0027922128516683,0.00384670303345245,0.00251945379491182,0.00213784954595197,0.00232857455857484,0.00312406765444522,0.00383882723941646,0.000357259347971197,0.00299611806315829,0.0018633645371751,0.00463032560134039,0.00283342576184916,0.0039343458322516,0.0027017743593766,0.00220138588746489,0.00297711768987045,0.00261807196034247,0.00573588161870398,0.00527880225245057,0.00351184061264132,0.00474737459096045,0.00226645294412833,0.00171073727462524,0.00225066883236294,0.00573471446111794,0.00143547229124572,0.00438308758524278,0.00184356995259718,0.00511911251201624,0.00230171361867862,0.00553943866888588,0.00441582602943361,0.00305469507440192,0.00343201242371458,0.000353579032688138,0.00347111058202011,0.00200551797081007,0.00323820208683929,0.00201907966160536,0.00227380208300192,0.00231206015111369,0.0030503324131189,0.00352307903831882,0.0025904559838553,0.00168996507651004,0.00171954367576458,0.00017264017299308,0.00295776451130187,0.00144372260068426,0.00581815859047783,0.00352580911763677,0.00428933985545903,0.00153179004258874,0.00270270833114831,0.0014025109011705,0.00469117662314356,0.00378556099536995,0.00369843408075378,0.00127805212941189,0.00271650872311809,0.00152779103386407,0.00227305100640395,0.000498324937038657,0.00515789177820423,0.00239463945445075,0.00200340565101432,0.00256658689235565,0.000802190711784758,0.000559587558495118,0.00219597477042091
3,2,2,1,3,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,3,3,1,1,3,3,1,1,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,3,3,2,2,2,2,2,3,2,2,1,2,2,2,2,3,2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,3,1,2,2,2,2,2,1,3,2,2,3,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,1,2,3,2,2,2,2,3,2,2,3,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,3,3,2,2,2,2,2,3,2,2,3,2,2,2,1,2,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,2,1,3,2,2,2,2,1,2,2,2,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,2,2,2,3,2,2,2,1,1,1,1,3,2,2,3,2,2,2,2,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3
