"V1","V2","V3"
-11.9208833851542,-11.7531343654427,3
-4.1895120301957,-7.40813140479757,2
-19.022202395007,-5.73134894573578,3
22.6232211982786,-7.10325914027693,1
-4.10112627929843,-9.89270250077932,1
-6.20789367091162,23.8518057450231,1
9.19485992824902,3.39782137827048,1
20.1260410857904,-0.608008288324404,3
-8.93457666158301,21.1510844354996,2
20.7934891297827,-13.0474939506366,1
8.68139996383643,0.393180969804889,2
-17.613491249147,-1.18239024047122,2
6.26465608763811,0.72923566605691,2
-14.5320004140026,-6.09202846678634,2
9.63742190829204,-24.4228447706299,2
-13.7830043079443,-7.16006003097297,2
-18.4274339730933,0.183633883138844,2
1.94459696604252,-2.27579475878208,1
22.701165173912,-5.30257037402292,2
13.4649417445243,3.71874886458774,1
19.3114160065065,4.26338276479368,3
-11.187365057773,-10.6574418585507,3
9.52051404924967,-24.7981138273334,1
-18.3258544089069,7.59364307991743,2
23.5878994945108,-9.45760519790667,1
15.6805581104972,2.7346026769439,3
-6.38495145976037,24.763361781396,3
-11.5883877377058,16.7694411332686,1
8.93491147090206,-24.9897351491153,2
14.2167749830458,4.02534066812484,2
5.46874400899165,-2.56660336924559,2
-18.7582243146952,-2.24861497916203,2
21.8363174293457,-12.8578330923743,2
-18.0270323361965,4.3764495031663,1
17.0021920892629,3.39874933449055,2
-2.22417744842943,-9.1099579589022,3
-19.048946979616,4.44071295274856,2
-13.4211664219368,14.9635215658974,3
20.5575483721335,-15.244450145144,2
5.28547797556958,-0.283405222526377,2
-19.1335170794765,10.5166110211041,3
-14.7185954361828,-9.19112425457236,3
22.1420008401681,-0.282380398210911,2
15.7979313136876,4.0995406421956,2
-0.0967565941861634,-8.54836082177316,2
9.15843872034899,0.613027281686752,3
21.8952591838975,-10.3907732415049,2
-17.7859556760803,-5.63984193008129,2
-4.86955210644647,-8.59451271963131,2
11.2982172832797,3.82984741844218,1
20.1699022481705,1.87898372853112,2
-12.2195276845737,-6.23152441734897,2
1.01340851927831,-4.78463983909883,2
-17.5198282130915,-4.39900772313856,2
-19.7326454797669,-6.68898156376861,3
-2.33644219116217,-7.98084045883711,3
-9.73610480932089,-9.04534745128861,2
-17.9254703342347,0.0439684069061358,2
9.08309876251804,-23.9895913208332,2
22.4568633270903,-1.1531969334612,2
-18.207690910297,5.94449087419847,2
-18.8344742179238,-6.68607383313412,3
-10.4089783450288,20.3193503401935,2
-18.646585366449,5.92828669384315,3
-17.7334630010716,-3.38388726415051,2
-14.9965011438763,-4.55301074338578,2
21.6037382570067,-14.1064830968816,2
-18.8113416123788,10.8386436167727,2
20.6578759141359,0.838484051169073,2
-18.1554134617333,-6.18770293680138,2
12.3014177034221,3.365465948434,1
21.7432625880787,-11.6320600034801,2
2.60112478405151,-3.89628951521504,2
-3.82836771914292,-10.0015462930548,2
9.68270046378593,-24.4143090340462,2
-19.1218870877845,-1.97085944355538,2
20.3813799203553,-13.9603611745744,3
-1.4088121002414,-7.02805815435887,2
-18.8680401768907,7.19028397438805,2
